epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.5465,1.86993,3.22086,1.7545,0.07661,0.20415,0.05216,0.02622,1.95206,15.5256,1.91228,0.000316667,0.000316667,0.06865
2,87.7911,1.77926,2.31736,1.66977,0.08444,0.15587,0.02484,0.01279,2.07298,107.63,2.1902,0.000649365,0.000649365,0.0356494
3,115.283,1.91307,2.28786,1.82888,0.00947,0.07804,0.00435,0.00124,2.51391,53.4534,2.66278,0.000979495,0.000979495,0.00264616
4,143.34,1.88074,2.20458,1.71891,0.03329,0.07257,0.01072,0.00405,2.31377,43.5391,2.90702,0.000991232,0.000991232,0.000991232
5,165.925,1.8027,1.93157,1.70805,0.01745,0.225,0.01212,0.00424,2.35053,75.8991,2.65005,0.000984449,0.000984449,0.000984449
6,192.764,1.79634,1.62644,1.69546,0.0375,0.133,0.01841,0.00809,2.11897,71.8482,2.33846,0.000975773,0.000975773,0.000975773
7,222.127,1.73248,1.50081,1.60618,0.41667,0.04808,0.06703,0.01942,2.14533,21.5745,2.28473,0.000965239,0.000965239,0.000965239
8,251.007,1.76132,1.77223,1.70625,0.23836,0.43122,0.24565,0.10021,1.92182,13.4849,1.99925,0.000952889,0.000952889,0.000952889
9,282.756,1.70604,1.44958,1.61854,0.23268,0.4606,0.19225,0.08537,1.98841,5.30139,2.01092,0.000938772,0.000938772,0.000938772
10,313.974,1.66598,1.44332,1.61049,0.19517,0.26366,0.135,0.06405,2.23206,4.99662,2.24018,0.000922942,0.000922942,0.000922942
11,343.285,1.64062,1.34645,1.56435,0.27267,0.43462,0.1994,0.09876,2.00164,5.13286,2.03693,0.000905463,0.000905463,0.000905463
12,376.942,1.63919,1.38547,1.60197,0.25548,0.46126,0.24436,0.12052,1.99727,3.36703,1.9955,0.000886404,0.000886404,0.000886404
13,406.749,1.60415,1.4402,1.58645,0.48478,0.50607,0.37556,0.16536,1.96038,2.75256,1.93919,0.000865839,0.000865839,0.000865839
14,439.185,1.58382,1.46021,1.56888,0.37207,0.48957,0.32761,0.16686,1.9181,2.91124,1.93005,0.000843851,0.000843851,0.000843851
15,471.44,1.57989,1.2413,1.47024,0.7911,0.50101,0.58146,0.29258,1.82438,1.81874,1.8963,0.000820525,0.000820525,0.000820525
16,506.591,1.54355,1.22159,1.46966,0.71872,0.60669,0.65831,0.32199,1.84542,1.70526,1.9042,0.000795954,0.000795954,0.000795954
17,545.423,1.52797,1.15277,1.47315,0.84943,0.58633,0.67048,0.34207,1.7834,1.5314,1.78696,0.000770234,0.000770234,0.000770234
18,578.772,1.56419,1.26381,1.48055,0.77454,0.62348,0.62136,0.30186,1.79962,1.5378,1.79177,0.000743468,0.000743468,0.000743468
19,604.735,1.49049,1.1269,1.49529,0.7384,0.65506,0.66394,0.30585,1.85612,1.58609,1.82223,0.000715761,0.000715761,0.000715761
20,631.906,1.41079,1.0075,1.4021,0.78169,0.56993,0.63592,0.31443,1.8695,1.65362,1.86088,0.000687222,0.000687222,0.000687222
21,658.026,1.40474,1.05343,1.39591,0.80486,0.58646,0.63014,0.33487,1.82824,1.34157,1.79723,0.000657963,0.000657963,0.000657963
22,688.771,1.42438,0.96775,1.38705,0.62021,0.6196,0.54757,0.30038,1.77475,1.61252,1.76678,0.000628101,0.000628101,0.000628101
